texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
Ai Dos Que Ajuntam Casa A Casa Reúnem Campo A Campo Até Que Não Haja Mais Lugar E Fiquem Como Únicos Moradores No Meio Da Terra,423,1062,5706,2459,16022,8542,108426,102,
Ai Dos Que O Chamam Bem E Ao Bem Mal Que Fazem Das Treva Luz E Da Luz Trevas,233,629,6047,1273,10471,5550,36540,58,
Ai Dos Que São Sábios Aos Seus Próprios Olhos,161,485,2465,1029,7905,4195,17982,37,
Ai Te Lembrares Que Teu Irmaõ Tem Alguma Coisa Contra Ti,198,513,3078,1204,8017,4265,23644,46,
Aiia,20,20,20,164,164,92,84,4,
Ainda Acima Do Seu Poder,88,178,817,526,2470,1324,3580,20,
Ainda Que Era Filho Aprendeu A Obediencia Por Aquilo Que Padeceu,268,520,2806,1688,7412,3966,28134,54,
Ainda Que Eu Falasse A Lingua Dos Homens,131,338,1823,725,5000,2669,11187,33,
Ainda Que Eu Falasse A Lingua Dos Homens E A Dos Anjos,162,441,2214,868,6511,3476,19006,43,
Ainda Que Eu Falasse A Lingua Dos Homens E A Dos Anjos E Não Tivesse Amor,226,622,3340,1242,9414,5018,36134,58,
Ainda Que Eu Falasse A Lingua Dos Homens E A Dos Anjos E Não Tivesse Amor Seria Como O Metal Que Soa Ou Como O Sino Que Tine,407,1109,6041,2309,16979,9044,107670,97,
Ainda Que O Nosso Homem Exterior Se Corrompa,190,460,2611,1218,7194,3827,17057,37,
Ainda Que Seus Pecados Sejam Vermelhos Como Escarlate,179,494,2690,965,7526,4010,22770,46,
Ajuda,10,37,316,28,559,298,190,5,
Ajuda Adequada,37,91,712,161,1349,720,1196,13,
Ajuntai Tesouros No Ceu,77,266,1904,419,4478,2372,5340,20,
Ajuntaitesourosnoceu,77,266,1904,419,4478,2372,5340,20,
Akanahi,27,45,90,177,465,255,322,7,
Alcança Por Dinheiro,94,166,544,630,2178,1172,3006,18,
Alcançam A Outra Margem E Vão Além Do Reino Da Morte,177,411,2184,999,5985,3198,17304,42,
Alcançou A Realização Da Promessa,111,273,1920,635,4253,2263,7946,29,
Alegria,35,53,143,247,625,339,378,7,
Aleluia,25,61,376,135,837,449,434,7,
Além Disso Tivemos Nossos Pais Segundo A Carne,158,473,2489,900,7425,3949,18486,39,
Alguem A Lei Demoises,76,175,751,426,2343,1259,3168,18,
Ali Estava A Luz Verdadeira,93,237,2487,565,4057,2147,5474,23,
Aliança + Mandamento,60,141,546,292,1831,986,2556,18,
Aliança Com Os Profetas,80,206,890,458,3050,1628,4140,20,
Alimento,35,89,395,197,1241,665,720,8,
Alimento Em Abundancia,78,177,861,410,2381,1279,3560,20,
Alimento Espiritual,84,219,1209,538,3355,1787,3960,18,
Alinhar,36,63,189,262,811,437,448,7,
Allah É Inimigo Dos Renegadores Da Fé,154,280,856,974,3512,1896,8711,31,
Allah É Perdoador E Misericordiador,165,300,1038,1117,4078,2189,9331,31,
Allah Enviou Os Profetas,92,254,1586,546,4020,2137,5355,21,
Alma Perversa,50,131,833,306,2115,1123,1584,12,
Almoço,23,59,194,107,773,416,360,6,
Alta Iniciação,53,98,377,339,1230,664,1287,13,
Altivez,32,95,1445,200,1811,953,672,7,
Alto,12,48,291,50,770,409,196,4,
Alvissareiro,58,148,895,414,2412,1280,1788,12,
Alvissareiro E Admoestador,106,268,1465,672,4200,2234,6456,24,
Alvorada,29,74,587,161,1196,635,600,8,
Alvorecer,45,99,684,283,1561,830,900,9,
Alvoroçadora,53,125,800,323,1979,1052,1512,12,
Amadurecer,44,89,539,264,1335,712,900,10,
Amai A Justiça Vos Que Governais A Terra,137,380,2729,865,6292,3336,12573,33,
Amaldiçoar A Deus,55,127,649,303,1815,971,1920,15,
Amaldiçoou,40,94,508,214,1312,703,950,10,
Amanha,20,38,101,108,432,235,234,6,
Amanha O Senhor Fara Conhecer Quem É Dele,163,316,1270,983,4250,2283,10778,34,
Amante,18,54,297,72,792,423,330,6,
Amar,15,33,132,99,495,264,136,4,
Amaras Ao Teu Próximo Como A Timesmo,132,366,2346,788,5864,3115,11010,30,
Amaras O Próximo,70,178,1222,472,2938,1558,2506,14,
Amaras O Teu Proximo Como A Ti Mesmo,131,365,2345,787,5863,3114,10614,29,
Amarás Pois O Senhor Teu Deus,103,301,1759,625,4909,2605,7248,24,
Amarga Inveja,48,102,615,298,1432,767,1236,12,
Amargo Do Fel,52,97,304,306,1215,656,1078,11,
Amava O Eterno,49,130,913,267,2076,1103,1572,12,
Ambos,14,50,203,58,760,405,255,5,
Ambos Eram Justos Diante De Deus,95,302,1796,477,4770,2536,8181,27,
Amei A Jacó,31,58,130,171,612,335,531,9,
Amei A Jaco E Aborreci A Esau,91,181,802,551,2459,1320,4186,23,
Amém,14,32,86,58,364,198,132,4,
Amizade,32,59,860,204,969,514,420,7,
Amontoarão Doutores Conforme As Sua Próprias Concupiscencias,241,646,3454,1471,10246,5446,34938,54,
Amor,20,47,191,134,719,383,192,4,
Amor + Silencio,61,133,457,401,1841,987,1742,13,
Amor + Verdade,52,106,700,314,1610,858,1284,12,
Amor A Deus E Amor Ao Próximo,113,275,1787,717,4389,2332,6348,23,
Amor Correspondido,94,202,796,626,3002,1602,3451,17,
Amor E Bondade,52,97,322,282,1227,662,1176,12,
Amor E Fidelidade,75,111,273,465,1185,648,1680,15,
Amor E Luz,39,111,1326,241,2005,1058,896,8,
Amor E Sacrificio,81,144,486,575,1952,1048,2175,15,
Amor É Sofredor É Benigno O Amor Não É Invejoso O Amor Não Trata Com Leviandade Não Se Nsorbece,356,824,3857,2112,12030,6427,63525,77,
Amor Em Essência ,59,140,509,343,1972,1056,1974,14,
Amor Eterno,52,124,601,330,1914,1019,1250,10,
Amor Perfeito,69,141,636,471,2091,1116,1704,12,
Amor Razão Compreensão,97,232,1627,621,3762,1997,4660,20,
Amor Sagrado,49,112,454,319,1696,904,1243,11,
Amor Santo ,35,116,602,201,1902,1009,1053,9,
Amor Sem Distinção,70,178,772,430,2644,1411,2864,16,
Amor Sensual,39,138,777,205,2248,1193,1529,11,
Amor Verdadeiro,76,148,859,512,2240,1194,2086,14,
Amplo Esclarecimento,82,199,802,458,2789,1494,3800,19,
Ana,7,16,52,27,198,107,51,3,
Analise Profunda,66,156,777,396,2304,1230,2355,15,
Analogia,33,60,159,203,698,379,488,8,
Análogo,29,65,209,157,841,453,462,7,
Anda Com Os Sábios,51,150,591,265,2236,1193,2265,15,
Anda Com Os Sabios E Será Sábio,91,244,964,521,3644,1944,6125,25,
Andai Em Amor,49,94,301,299,1208,651,1045,11,
Andai Em Espirito E Não Cumprireis A Concupiscencia Da Carne,245,506,2306,1571,7232,3869,25857,51,
Andando Irrepreensíveis Em Todos Os Mandamentos E Preceitos Do Senhor ,287,701,3311,1755,10557,5629,42120,60,
Andarei Entre Vós,71,170,1070,443,2684,1427,2565,15,
Andareis Em Todo O Caminho Que Vos Manda O Senhor Vosso Deus,217,586,3403,1251,9162,4874,28763,49,
Ande Na Escuridão,62,134,683,352,1918,1026,2025,15,
Anelai Pois Pelas Minhas Palavras,119,308,1442,741,4602,2455,8961,29,
Anestesia,30,93,471,164,1451,772,846,9,
Angustia,29,92,668,171,1530,811,744,8,
Angustiado,39,111,732,223,1771,941,1120,10,
Ani,15,24,60,107,278,151,75,3,
Animal,23,50,131,133,592,321,306,6,
Aniquilar,48,102,570,352,1558,830,927,9,
Aniquilará A Morte Para Sempre,125,287,1439,845,4445,2366,7488,26,
Anjo,13,40,121,63,522,281,164,4,
Anjo Das Trevas,41,149,1022,209,2495,1322,1950,13,
Anjo De Deus,35,98,539,155,1406,752,990,10,
Anjo De Luz,36,108,1260,186,1824,966,981,9,
Anjo Do Senhor,57,138,498,347,1958,1048,1668,12,
Anjo Negro,45,99,333,279,1341,720,900,9,
Ansiedade,35,62,179,191,722,392,567,9,
Antecipas Meu Pensamento,87,249,1365,453,3819,2034,5500,22,
Antes Andarão Após O Propósito Do Seu Coração,163,442,2260,973,7030,3736,16834,38,
Antes Da Fundação Do Mundo,80,215,1304,360,3213,1714,4752,22,
Antes De Todas As Coisas,60,213,1104,286,3427,1820,4280,20,
Antes De Todos Os Séculos,71,269,1547,317,4403,2336,5670,21,
Antes Do Ato Sexual,52,196,1717,230,3398,1797,3152,16,
Antes Rejeitastes Todo Meu Conselho,122,374,2066,652,5836,3105,11625,31,
Antes Se Prostituíram Após Outros Deuses,143,494,3185,857,8480,4487,17325,35,
Antes Se Prostituíram Após Outros Deuses E Encurvaram -Se A Eles,213,681,4416,1233,11421,6051,36828,54,
Anticristo,47,128,722,323,2078,1103,1290,10,
Antigos Misterios,77,212,1040,523,3340,1776,3408,16,
Anunciando A Paz Por Jesus Cristo,122,347,2597,758,5789,3068,9744,28,
Anunciar A Jesus Cristo,78,240,1482,482,3938,2089,4820,20,
Anunciará Aos Cativos A Libertação E Aos Prisioneiros O Alvará De Soltura,261,684,4032,1639,10882,5783,42470,62,
Anunciaram A Sua Justiça,67,220,1570,367,3616,1918,4641,21,
Ao Conselho De Deus,66,165,795,334,2359,1262,2656,16,
Ao Deus Desconhecido,79,169,781,431,2321,1245,3060,18,
Ao Oitavo Dia,49,112,805,309,1740,926,1243,11,
Ao Passo Que Vós Que Fostes Fiéis Ao Senhor Vosso Deus,189,594,3825,1111,9922,5258,26180,44,
Ao Passo Que Vós Que Fostes Fiéis Ao Senhor Vosso Deus Estais Vivos Até Hoje,260,818,5498,1530,13626,7222,50778,62,
Ao Qual Chamará Isaac,64,145,730,386,2123,1134,2628,18,
Ao Senhor Dos Exércitos,98,251,1610,620,4049,2150,5040,20,
Ao Senhor Dos Exércitos A Ele Santificai ,158,365,2039,1000,5491,2928,12444,34,
Ao Senhor Teu Deus Adorarás,96,267,1635,576,4383,2325,6164,23,
Ao Tempo Que As Moças Saiam Para Tirar Agua,140,374,2138,870,6000,3187,13125,35,
Aos Antigos Não Cometeras Adulterio,129,354,1902,757,5518,2936,11005,31,
Aos Herdeiros Da Promessa,103,247,1003,675,3771,2009,5456,22,
Aos Homens É Isso Impossível,108,315,1521,664,4867,2591,7584,24,
Aos Pés Dos Apóstolos,65,245,1181,339,4029,2137,4428,18,
Aos Que Anunciam O Evangelho,105,258,1626,589,3874,2066,6216,24,
Aos Que Anunciam O Evangelho Que Vivam Do Evangelho,197,476,3491,1119,7302,3889,20511,43,
Aos Renegadores Da Fé E Aos Hipócritas,149,320,1310,951,4650,2485,10272,32,
Aos Retos Convém O Louvor,95,302,2174,535,5098,2700,6363,21,
Aos Soberbos Eu Disse Não Devies Agir Com Arrogancia,198,459,2259,1248,6909,3684,20240,44,
Apanhada Em Adultério,79,169,880,461,2387,1278,3230,19,
Apanhar,32,59,221,222,843,451,420,7,
Aparecerá Segunda Vez Sem Pecado Aos Que O Esperam Para Salvação,220,553,3901,1258,8863,4708,29916,54,
Apareceu Primeiramente A Maria Madalena,157,310,1363,985,4288,2299,10885,35,
Apedrejar,42,78,276,280,1072,575,711,9,
Apedrejaram A Paulo,68,158,779,402,2310,1234,2703,17,
Apegado A Um Firme E Inquebrantável Sustentáculo,174,471,3216,970,7459,3965,19824,42,
Apenas Os Que Ouvem Atendem A Verdade,124,331,2392,632,5249,2790,10292,31,
Aperfeiçoar Meu Carater,103,202,1075,677,3026,1614,4263,21,
Aperto,30,75,426,196,1231,653,456,6,
Apoiar O Mal,47,101,362,311,1427,764,1020,10,
Após Mim Vem Aquele Que É Mais Forte,134,341,2087,794,5267,2804,9918,29,
Apostar,27,90,522,173,1568,829,637,7,
Apostolo,32,113,581,172,1837,975,912,8,
Apostolo De Jesus Cristo,82,280,1567,462,4566,2423,5901,21,
Apostolo Vontade,59,194,1301,295,3184,1689,2925,15,
Apregoar A Liberdade Aos Cativos,122,266,1409,768,3990,2128,7476,28,
Aprendei A Fazer O Bem,92,164,1244,592,2410,1287,2970,18,
"Aprendei A Fazer O Bem ,Buscai A Justiça, Trazei Alivio Aos Oprimidos",261,603,4500,1719,9549,5076,35032,58,
Aprendendo,51,96,339,299,1280,688,970,10,
Aprendendo Com A Dor,84,165,597,494,2249,1207,2822,17,
Aprender A Ouvir A Voz Interior,150,339,2949,1058,5765,3052,8840,26,
Aprender Com O Coração,93,183,696,573,2589,1386,3496,19,
Aprender E Ensinar,85,166,625,567,2376,1271,2672,16,
Aprendeu,39,84,525,231,1284,684,680,8,
Aprendeu A Mentir,74,164,920,464,2480,1322,2475,15,
Aprendeu A Obediencia Por Aquilo Que Padeceu,185,374,2147,1133,5462,2918,14250,38,
Aprendeu Falsas Crenças,79,205,1015,431,3113,1659,4326,21,
Apresente A Mulher Perante O Senhor,147,354,1794,919,5428,2891,10650,30,
Apropriado,59,113,455,431,1709,911,1140,10,
Aprouver,44,116,1016,298,2080,1098,936,8,
Aprovados De Deus,61,169,1204,329,2777,1473,2550,15,
Aproximado,53,116,935,353,1874,995,1170,10,
Aquario,37,82,541,273,1362,722,581,7,
Aquele A Quem O Pai Santificou,114,276,1725,698,4244,2260,6925,25,
Aquele Em Que Não Creram,93,210,1191,547,3148,1679,4220,20,
Aquele Pois Que Cuida Estar Em Pé Olhe E Não Caia,176,392,2111,1054,5734,3063,15327,39,
Aquele Porem Que Se Gloria Glorie Se No Senhor,203,455,2102,1321,6739,3597,17328,38,
Aquele Que Aceitou O Seu Testemunho,126,378,2817,676,6220,3299,11370,30,
Aquele Que Aceitou O Seu Testemunho Esse Confirmou Que Deus É Verdadeiro,279,738,5112,1609,11842,6290,45079,61,
Aquele Que Ama,47,119,848,249,1851,985,1440,12,
Aquele Que Ama Seu Irmão,85,220,1453,499,3478,1849,4420,20,
Aquele Que Ama Seu Irmão Esta Na Luz,114,339,2940,638,5723,3031,9860,29,
Aquele Que Bebe Das Aguas Da Verdade Repousa Em Alegria,187,421,2662,1055,6329,3375,19412,46,
Aquele Que Bebe Das Aguas Da Verdade Repousa Em Alegria E Com Mente Serena,252,576,3321,1394,8504,4540,35197,61,
Aquele Que Come E Bebe Sem Distinguir O Corpo Do Senhor Come E Bebe A Sua Condenação,309,678,3342,1765,9694,5186,46172,68,
Aquele Que Cre Em Mim,84,183,1038,500,2651,1417,3128,17,
Aquele Que Cre Em Mim Ainda Que Esteja Morto Viverá,194,473,3164,1172,7355,3914,19908,42,
Aquele Que Dentre Vós Estiver Sem Pecado Seja O Primerio Que Atire Pedra Contra Ela,328,787,4666,2038,12253,6520,54372,69,
Aquele Que Deus Declarar Culpado Restituira O Dobro Ao Seu Próximo,262,667,4582,1618,10825,5746,37408,56,
Aquele Que Deus Enviou,86,239,2039,474,3975,2107,4560,19,
Aquele Que Deus Enviou Fala As Palavras De Deus,148,427,3289,774,6975,3701,16692,39,
Aquele Que Escolher O Senhor,121,283,1480,749,4277,2280,6816,24,
Aquele Que Não Nascer Da Agua,94,229,1480,512,3527,1878,5520,24,
Aquele Que Não Nascer Da Agua E Do Espirito Não Pode Entrar No Reino De Deus,289,658,3520,1753,9916,5287,40199,61,
Aquele Que O Senhor Ama,87,213,1221,517,3271,1742,4066,19,
Aquele Que Pecou Contra Mim,108,270,1737,628,4210,2240,6233,23,
Aquele Que Pode Fazer Perecer No Inferno A Alma E O Corpo,243,495,2916,1529,7361,3928,22816,46,
Aquele Que Se Glorie Glorie Se No Senhor,176,392,1841,1138,5764,3078,12969,33,
Aquele Que Tem Ele Só A Imortalidade,130,310,1705,740,4538,2424,9330,30,
Aquele Que Tem Ele Só A Imortalidade E Habita Na Luz Inacessivel,224,548,3824,1302,8340,4444,29097,53,
Aquele Que Vem De Cima É Sobre Todos,127,316,1999,701,4850,2583,9193,29,
Aqueles Cujas Maldades São Perdoadas,104,311,1616,504,4743,2527,9984,32,
Aqueles Que Cometem Maldades Renascem No Inferno,183,444,2118,1001,6410,3427,18690,42,
Aqueles Que Me Odeiam Sem Causa,99,270,1620,511,4120,2195,7046,26,
Aquemdeusressucitoudentreosmortos,141,456,3066,809,7712,4084,15081,33,
Aquilo Que O Sabios Ensinam,102,273,1452,632,4223,2248,6302,23,
Arcanjo,26,62,215,154,856,459,441,7,
Arcanjo Emanuel,52,133,646,264,1857,995,1876,14,
Arcanjo Gabriel,62,116,359,404,1484,800,1638,14,
Arcanjo Metatron,60,168,861,346,2596,1382,2535,15,
Arcanjo Metratron,69,186,951,427,2920,1553,2992,16,
Arcanjo Miguel,57,129,606,343,1765,947,1690,13,
Arcanjo Sandalphon,67,166,589,381,2316,1241,2839,17,
Arder,28,46,190,204,690,368,235,5,
Areia,25,34,106,189,432,233,175,5,
Arido,29,47,164,215,647,347,240,5,
Áries,25,52,205,189,792,422,265,5,
Arma,15,33,132,99,495,264,136,4,
Armado,25,52,196,151,736,394,318,6,
Armadura,32,77,527,206,1277,677,624,8,
Aros De Ouro,50,131,770,322,2167,1149,1320,10,
Arquivar,44,107,971,334,1945,1026,864,8,
Arrancai Os Pendentes De Ouro Que Estão Nas Orelhas De Vossas Mulheres E De Vossos Filhos,315,891,5004,1835,14129,7510,66008,74,
Arrasado,32,77,347,218,1253,665,624,8,
Arrebentar,48,102,534,328,1624,863,1030,10,
Arrependei Vos Porque É Chegado O Reino Dos Céus,210,453,2433,1332,6831,3642,18160,40,
Arrepender Se,65,128,515,435,1902,1015,1548,12,
Arrependesse Da Sua Prostituição,125,341,2033,775,5563,2952,9918,29,
Arrependimento,76,157,679,490,2263,1210,2212,14,
Arrependo Me De Por Saul Como Rei,141,303,1347,891,4437,2370,8208,27,
Arrogancia,51,87,312,365,1211,649,880,10,
Arrogancia E Separatismo,102,228,993,686,3440,1834,5038,22,
Arrombar,41,86,374,301,1372,729,696,8,
Arruinado,47,101,605,331,1609,855,918,9,
Arruinar,46,100,631,360,1692,896,808,8,
Articular,40,103,724,276,1725,914,936,9,
Artista Plástica,52,169,1015,328,2821,1495,2550,15,
Arvore,34,79,646,240,1383,731,480,6,
Arvore Da Ciencia Do Bem,95,167,842,585,2241,1204,3360,20,
Árvore Da Vida,57,120,1065,371,1982,1051,1452,12,
Arvore Da Vida + Sabedoria,95,194,1337,617,3020,1607,4290,22,
Arvore Frutifera,84,183,1353,594,3051,1617,2760,15,
Árvore Frutífera Que Dê Fruto Segundo A Sua Espécie,207,504,3528,1287,8172,4338,21715,43,
As Águas Abundantemente Répteis De Alma Vivente,154,433,3052,794,6833,3633,17794,41,
As Autoridades Inspiram Temor,118,307,1639,770,4865,2586,8008,26,
As Aves Do Céu E Elas Te Instruirão,110,326,2234,630,5364,2845,9156,28,
As Boas Açoes,28,100,433,116,1574,837,1111,11,
As Bodas Na Verdade Estão Preparadas,114,294,1626,638,4634,2464,9145,31,
As Carnes Oferecidas Aos Idolos,112,274,1057,672,4020,2147,7425,27,
As Coisas Do Espirito De Deus,103,274,1399,633,4278,2276,6600,24,
As Coisas Que Servem Para A Paz,102,291,2433,640,5059,2675,7300,25,
As Culpas Da Minha Mocidade,88,196,844,484,2644,1420,4531,23,
As Experiencias De Vida,94,193,1471,596,2945,1569,3880,20,
As Fábulas Profanas E Velhas,82,244,1468,434,3854,2049,5880,24,
As Gentes Precipitaram Se Nas Cova Que Abriram,171,423,2394,1087,6667,3545,16536,39,
As Magoas Da Vida,45,117,729,237,1767,942,1652,14,
As Más Conversaçoes Corrompem Os Bons Costumes,156,507,2757,838,8227,4367,20320,40,
As Minhas Palavras Teu Coração,96,276,1725,560,4466,2371,7202,26,
As Nossas Dividas,49,175,1039,279,2907,1541,2640,15,
As Paixoes Dos Pecados,75,210,1353,421,3382,1796,4009,19,
As Paixões Dos Pecados,75,210,1353,421,3382,1796,4009,19,
As Palavras Da Profecia Deste Livro,128,317,1946,790,4993,2655,9540,30,
As Palavras De Deus Lhe Foram Confiadas,129,318,1686,727,4732,2525,10527,33,
As Palavras Dos Ímpios São Emboscadas Para Derramarem Sangue,203,545,2714,1211,8501,4523,28392,52,
"As Perfeiçoes Invisiveis De Deus 
",136,316,1963,870,4848,2582,9193,29,
As Perversidades Dos Maus,86,257,1589,500,4235,2246,5676,22,
As Profundezas De Deus,79,223,2005,437,3803,2013,4256,19,
"As Quais São Adulterio, Prostituição,Impureza, Lascivia",209,578,4421,1375,9718,5148,28950,50,
As Sagradas Letras,48,165,831,274,2731,1448,2656,16,
As Sete Taças Da Ira De Deus,69,204,1239,345,3252,1728,4510,22,
As Trevas,24,105,897,130,1957,1031,848,8,
As Vestimentas Da Salvação,66,246,1812,292,4108,2177,5681,23,
As Virtudes,39,138,1209,235,2494,1316,1390,10,
Aseduçãodasriquezas,74,209,1964,442,3655,1932,3990,19,
Assaltar,19,91,523,99,1593,842,736,8,
Assalto,15,87,492,53,1493,790,616,7,
Assassino,26,116,521,148,1948,1032,1053,9,
Assenta Te A Minha Direita,90,216,1089,564,3210,1713,4774,22,
Assentado Em Trevas,57,201,1362,279,3375,1788,3434,17,
Assentou Se A Comer E A Beber,87,231,1230,461,3557,1894,5336,23,
Assim Com O A Chuva Penetra Numa Casa Mal Coberta As Paixões Dominam Aquele Que Tem A Mente Indolente,332,881,5390,1796,13451,7166,73206,83,
Assim Como Poucos Passaros Podem Escapar De Uma Rede Poucas Almas Podem Voar Para Liberdade Do Céu,339,870,4551,1925,13346,7108,71422,82,
Assim Como Vos Amei,65,191,1028,373,2947,1569,3072,16,
Assim Disse O Eterno Maldito O Homem Que Confia Somente No Ser Humano E Considera A Carne Mortal O Seu Amparo,403,1015,4858,2393,15191,8103,90424,89,
Assim Disse O Senhor Não Se Glorie O Sábio Na Sua Sabedoria,207,522,2214,1303,7828,4175,25104,48,
Assim Diz O Senhor,77,194,1436,529,3166,1680,2925,15,
Assim Diz O Senhor Que Te Criou E Te Formou Desde O Ventre,231,582,4182,1435,9418,5000,26818,46,
Assim É Todo Aquele Que É Nascido Do Espirito,172,424,2224,1052,6452,3438,15725,37,
Assim Falai Assim Procedei Como Devendo Ser Julgados Pela Lei Da Liberdade,273,597,2496,1609,8161,4379,37674,63,
Assim Jurei Na Minha Minha Ira Que Não Entrarão No Meu Repouso,248,599,3164,1622,9155,4877,30600,51,
Assim Meus Irmãos Vos Tambem Estais Mortos,135,477,2808,773,7901,4189,17208,36,
Assim Que Eu Mesmo Com Entendimento Sirvo A Leis De Deus,200,551,3188,1118,8471,4511,25392,46,
Assim Que Eu Mesmo Com Entendimento Sirvo A Leis De Deus Mas Com A Carne A Lei Do Pecado,297,747,3834,1643,10985,5866,52360,70,
Assim Se Cumpriu A Palavra Que Disse Dos Que Me Deste Não Perdi Nenhum,252,666,4014,1502,10484,5575,38019,57,
Assim Também Cristo Oferecendo-Se Uma Vez Para Tirar Os Pecados De Muitos,265,706,4612,1591,11338,6022,43834,62,
Assim Também Nós Quando Éramos Meninos,134,395,1853,748,6049,3222,13068,33,
Assim Também Nós Quando Erámos Meninos Estavamos Reduzidos A Servidão,248,725,4802,1436,11759,6242,43560,60,
Assinar,27,81,351,191,1325,703,574,7,
Asupremacontemplação,77,212,1130,403,3238,1725,4260,20,
Até Do Sábado É Senhor,72,171,756,398,2495,1333,3096,18,
Até Quando Maquinareis,90,225,1386,566,3563,1894,4520,20,
Até Quando Recusareis A Guardar Os Meus Mandamentos E As Minhas Leis,227,632,3512,1319,9914,5273,36081,57,
Até Quantas Vezes Pecará Meu Irmaõ Contra Mim,162,441,3456,966,7311,3876,16796,38,
